setting ^dummy=dummy
setting ^_ignored=[]
W0611 11:10:46.920104 140718620706624 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 11:10:53.328438 140718620706624 terminal_logging.py:55] episode = 59 | episode_len = 9 | episode_return = 1.0000 | steps = 531 | total_regret = 86.0000 | total_return = -27.0000
I0611 11:10:53.363805 140718620706624 terminal_logging.py:55] episode = 60 | episode_len = 9 | episode_return = -1.0000 | steps = 540 | total_regret = 88.0000 | total_return = -28.0000
I0611 11:10:53.363805 140718620706624 terminal_logging.py:55] episode = 60 | episode_len = 9 | episode_return = -1.0000 | steps = 540 | total_regret = 88.0000 | total_return = -28.0000
I0611 11:10:53.399408 140718620706624 terminal_logging.py:55] episode = 61 | episode_len = 9 | episode_return = -1.0000 | steps = 549 | total_regret = 90.0000 | total_return = -29.0000
I0611 11:10:53.399408 140718620706624 terminal_logging.py:55] episode = 61 | episode_len = 9 | episode_return = -1.0000 | steps = 549 | total_regret = 90.0000 | total_return = -29.0000
I0611 11:10:53.439010 140718620706624 terminal_logging.py:55] episode = 62 | episode_len = 9 | episode_return = -1.0000 | steps = 558 | total_regret = 92.0000 | total_return = -30.0000
I0611 11:10:53.439010 140718620706624 terminal_logging.py:55] episode = 62 | episode_len = 9 | episode_return = -1.0000 | steps = 558 | total_regret = 92.0000 | total_return = -30.0000
I0611 11:10:53.472565 140718620706624 terminal_logging.py:55] episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 94.0000 | total_return = -31.0000
I0611 11:10:53.472565 140718620706624 terminal_logging.py:55] episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 94.0000 | total_return = -31.0000
I0611 11:10:53.518301 140718620706624 terminal_logging.py:55] episode = 64 | episode_len = 9 | episode_return = -1.0000 | steps = 576 | total_regret = 96.0000 | total_return = -32.0000
I0611 11:10:53.518301 140718620706624 terminal_logging.py:55] episode = 64 | episode_len = 9 | episode_return = -1.0000 | steps = 576 | total_regret = 96.0000 | total_return = -32.0000
I0611 11:10:53.557301 140718620706624 terminal_logging.py:55] episode = 65 | episode_len = 9 | episode_return = 1.0000 | steps = 585 | total_regret = 96.0000 | total_return = -31.0000
I0611 11:10:53.557301 140718620706624 terminal_logging.py:55] episode = 65 | episode_len = 9 | episode_return = 1.0000 | steps = 585 | total_regret = 96.0000 | total_return = -31.0000
I0611 11:10:53.601444 140718620706624 terminal_logging.py:55] episode = 66 | episode_len = 9 | episode_return = 1.0000 | steps = 594 | total_regret = 96.0000 | total_return = -30.0000
