setting ^bsuite_id=catch/1
setting ^save_path=/tmp/bsuite
setting ^logging_mode=buddy
setting ^overwrite=True
setting ^num_episodes=None
setting ^verbose=True
setting ^_ignored=[]
INFO:absl:Starting the local TPU driver.
INFO:absl:Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
INFO:absl:Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Host Interpreter
INFO:absl:Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
WARNING:absl:No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
INFO:absl:episode = 48 | episode_len = 9 | episode_return = 1.0000 | steps = 432 | total_regret = 78.0000 | total_return = -30.0000
I0611 19:59:32.730392 140306405291840 terminal_logging.py:55] episode = 48 | episode_len = 9 | episode_return = 1.0000 | steps = 432 | total_regret = 78.0000 | total_return = -30.0000
INFO:absl:episode = 49 | episode_len = 9 | episode_return = 1.0000 | steps = 441 | total_regret = 78.0000 | total_return = -29.0000
I0611 19:59:32.792049 140306405291840 terminal_logging.py:55] episode = 49 | episode_len = 9 | episode_return = 1.0000 | steps = 441 | total_regret = 78.0000 | total_return = -29.0000
INFO:absl:episode = 50 | episode_len = 9 | episode_return = -1.0000 | steps = 450 | total_regret = 80.0000 | total_return = -30.0000
I0611 19:59:32.861390 140306405291840 terminal_logging.py:55] episode = 50 | episode_len = 9 | episode_return = -1.0000 | steps = 450 | total_regret = 80.0000 | total_return = -30.0000
INFO:absl:episode = 51 | episode_len = 9 | episode_return = 1.0000 | steps = 459 | total_regret = 80.0000 | total_return = -29.0000
I0611 19:59:32.932559 140306405291840 terminal_logging.py:55] episode = 51 | episode_len = 9 | episode_return = 1.0000 | steps = 459 | total_regret = 80.0000 | total_return = -29.0000
INFO:absl:episode = 52 | episode_len = 9 | episode_return = 1.0000 | steps = 468 | total_regret = 80.0000 | total_return = -28.0000
I0611 19:59:32.999524 140306405291840 terminal_logging.py:55] episode = 52 | episode_len = 9 | episode_return = 1.0000 | steps = 468 | total_regret = 80.0000 | total_return = -28.0000
INFO:absl:episode = 53 | episode_len = 9 | episode_return = 1.0000 | steps = 477 | total_regret = 80.0000 | total_return = -27.0000
I0611 19:59:33.056549 140306405291840 terminal_logging.py:55] episode = 53 | episode_len = 9 | episode_return = 1.0000 | steps = 477 | total_regret = 80.0000 | total_return = -27.0000
INFO:absl:episode = 54 | episode_len = 9 | episode_return = 1.0000 | steps = 486 | total_regret = 80.0000 | total_return = -26.0000
I0611 19:59:33.106414 140306405291840 terminal_logging.py:55] episode = 54 | episode_len = 9 | episode_return = 1.0000 | steps = 486 | total_regret = 80.0000 | total_return = -26.0000
INFO:absl:episode = 55 | episode_len = 9 | episode_return = 1.0000 | steps = 495 | total_regret = 80.0000 | total_return = -25.0000
I0611 19:59:33.156363 140306405291840 terminal_logging.py:55] episode = 55 | episode_len = 9 | episode_return = 1.0000 | steps = 495 | total_regret = 80.0000 | total_return = -25.0000
INFO:absl:episode = 56 | episode_len = 9 | episode_return = 1.0000 | steps = 504 | total_regret = 80.0000 | total_return = -24.0000
I0611 19:59:33.202346 140306405291840 terminal_logging.py:55] episode = 56 | episode_len = 9 | episode_return = 1.0000 | steps = 504 | total_regret = 80.0000 | total_return = -24.0000
INFO:absl:episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 80.0000 | total_return = -23.0000
I0611 19:59:33.268429 140306405291840 terminal_logging.py:55] episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 80.0000 | total_return = -23.0000
INFO:absl:episode = 58 | episode_len = 9 | episode_return = 1.0000 | steps = 522 | total_regret = 80.0000 | total_return = -22.0000
I0611 19:59:33.325550 140306405291840 terminal_logging.py:55] episode = 58 | episode_len = 9 | episode_return = 1.0000 | steps = 522 | total_regret = 80.0000 | total_return = -22.0000
INFO:absl:episode = 59 | episode_len = 9 | episode_return = 1.0000 | steps = 531 | total_regret = 80.0000 | total_return = -21.0000
I0611 19:59:33.378039 140306405291840 terminal_logging.py:55] episode = 59 | episode_len = 9 | episode_return = 1.0000 | steps = 531 | total_regret = 80.0000 | total_return = -21.0000
INFO:absl:episode = 60 | episode_len = 9 | episode_return = -1.0000 | steps = 540 | total_regret = 82.0000 | total_return = -22.0000
I0611 19:59:33.438271 140306405291840 terminal_logging.py:55] episode = 60 | episode_len = 9 | episode_return = -1.0000 | steps = 540 | total_regret = 82.0000 | total_return = -22.0000
INFO:absl:episode = 61 | episode_len = 9 | episode_return = 1.0000 | steps = 549 | total_regret = 82.0000 | total_return = -21.0000
I0611 19:59:33.494071 140306405291840 terminal_logging.py:55] episode = 61 | episode_len = 9 | episode_return = 1.0000 | steps = 549 | total_regret = 82.0000 | total_return = -21.0000
INFO:absl:episode = 62 | episode_len = 9 | episode_return = -1.0000 | steps = 558 | total_regret = 84.0000 | total_return = -22.0000
I0611 19:59:33.539571 140306405291840 terminal_logging.py:55] episode = 62 | episode_len = 9 | episode_return = -1.0000 | steps = 558 | total_regret = 84.0000 | total_return = -22.0000
INFO:absl:episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 86.0000 | total_return = -23.0000
I0611 19:59:33.577838 140306405291840 terminal_logging.py:55] episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 86.0000 | total_return = -23.0000
INFO:absl:episode = 64 | episode_len = 9 | episode_return = 1.0000 | steps = 576 | total_regret = 86.0000 | total_return = -22.0000
I0611 19:59:33.616730 140306405291840 terminal_logging.py:55] episode = 64 | episode_len = 9 | episode_return = 1.0000 | steps = 576 | total_regret = 86.0000 | total_return = -22.0000
INFO:absl:episode = 65 | episode_len = 9 | episode_return = -1.0000 | steps = 585 | total_regret = 88.0000 | total_return = -23.0000
I0611 19:59:33.656279 140306405291840 terminal_logging.py:55] episode = 65 | episode_len = 9 | episode_return = -1.0000 | steps = 585 | total_regret = 88.0000 | total_return = -23.0000
INFO:absl:episode = 66 | episode_len = 9 | episode_return = -1.0000 | steps = 594 | total_regret = 90.0000 | total_return = -24.0000
I0611 19:59:33.691320 140306405291840 terminal_logging.py:55] episode = 66 | episode_len = 9 | episode_return = -1.0000 | steps = 594 | total_regret = 90.0000 | total_return = -24.0000
INFO:absl:episode = 67 | episode_len = 9 | episode_return = 1.0000 | steps = 603 | total_regret = 90.0000 | total_return = -23.0000
